,Adjusted Close,Adjusted Close,Adjusted Close,Adjusted Close,Adjusted Close,Adjusted Close,Adjusted Close,Adjusted Close,Adjusted Close,Adjusted Close,Adjusted Close,Adjusted Close,Adjusted Close,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return,Daily Return
Ticker,AAPL,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI,AAPL,DBA,EPP,EWJ,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.87611389160156,15.702030181884766,39.50611114501953,55.684417724609375,35.94435119628906,102.28807067871094,143.9499969482422,26.02050018310547,209.97613525390625,99.28661346435547,302.2086486816406,102.4800033569336,94.30371856689453,,,,,,,,,,,,,
2020-01-03,72.16761016845703,15.521219253540039,39.10065460205078,55.070457458496094,35.48263168334961,102.23009490966797,145.86000061035156,25.759023666381836,208.052734375,99.28661346435547,299.9203186035156,105.44000244140625,92.98896026611328,-0.00972202941828626,-0.011515130607335444,-0.010263134771235638,-0.011025710444700354,-0.012845398444335299,-0.0005667891539872238,0.013268521727000326,-0.010048865889726533,-0.009160092772354522,0.0,-0.0075720204835554306,0.028883674741530863,-0.013941743981692789
2020-01-06,72.74264526367188,15.559285163879395,39.19357681274414,55.26580810546875,35.543617248535156,102.49099731445312,147.38999938964844,25.549846649169922,209.3932647705078,99.27764129638672,301.06451416015625,105.27999877929688,93.79574584960938,0.00796804957061159,0.0024525077390857852,0.002376487341173128,0.003547285713395132,0.0017187441374075796,0.0025521095819747153,0.010489502076611812,-0.008120533601004176,0.006443224115918689,-9.036634099690577e-05,0.0038149984701543183,-0.0015174853794061027,0.008676143718429064
2020-01-07,72.40055084228516,15.597350120544434,39.168235778808594,55.358829498291016,35.34325408935547,102.04649353027344,147.97000122070312,25.482608795166016,209.36412048339844,99.29559326171875,300.2179260253906,105.04000091552734,93.94512939453125,-0.004702804251161319,0.0024464463671767245,-0.0006465608907454401,0.001683163532952392,-0.005637106594375774,-0.004337003208349177,0.003935150508558971,-0.002631634347053491,-0.000139184453431751,0.0001808258646922578,-0.002811982465377061,-0.002279614993847545,0.001592647337773645
2020-01-08,73.5652084350586,15.521219253540039,39.36250686645508,55.36812973022461,35.517478942871094,101.74691772460938,146.86000061035156,25.407899856567383,210.93777465820312,99.30457305908203,301.8179016113281,101.27999877929688,95.23001861572266,0.016086308449648312,-0.004881012891036929,0.004959914169828217,0.00016799907111253454,0.004929507992533555,-0.002935679564287863,-0.007501524641443713,-0.0029317617830716403,0.007516350801518801,9.043500389394055e-05,0.005329380584029986,-0.03579590730634363,0.013677017951568171
2020-01-09,75.12779235839844,15.559285163879395,39.50611114501953,55.75883483886719,35.66558837890625,101.72757720947266,146.02999877929688,25.183778762817383,212.72515869140625,99.30457305908203,303.8644104003906,99.91999816894531,95.4391860961914,0.021240800598278042,0.0024525077390857852,0.003648250327441316,0.0070564982156025025,0.004170043607920171,-0.00019008453100333167,-0.005651653463197515,-0.008820921643079793,0.008473513272335254,0.0,0.0067806077046348445,-0.013428126251415096,0.0021964448134026426
2020-01-10,75.29762268066406,15.702030181884766,39.64125442504883,55.36812973022461,35.552330017089844,101.81455993652344,146.91000366210938,25.07918930053711,212.1811981201172,99.29559326171875,302.9900207519531,99.27999877929688,94.453125,0.002260552545660488,0.009174265816321192,0.003420819617836024,-0.007007052958901361,-0.0031755640931299123,0.0008550555261104265,0.006026192495848015,-0.004153048804363513,-0.0025571050205592805,-9.04268261436858e-05,-0.0028775651853579776,-0.006405118108252172,-0.010331826333866423
2020-01-13,76.90631866455078,15.606866836547852,40.08894348144531,55.684417724609375,35.63945007324219,101.98851013183594,145.82000732421875,25.221134185791016,214.62908935546875,99.30457305908203,305.0738220214844,97.5999984741211,92.55071258544922,0.02136449899234094,-0.0060605758767871,0.011293513863012139,0.005712455810334305,0.002450473882034343,0.0017085001931054222,-0.007419483430124996,0.005659867372621363,0.011536796177226805,9.043500389394055e-05,0.0068774584204447375,-0.016921840509995234,-0.020141339045698925
2020-01-14,75.8678207397461,15.692514419555664,40.17341232299805,55.7030143737793,35.517478942871094,101.8725357055664,145.69000244140625,25.146425247192383,213.78390502929688,99.30457305908203,304.6086730957031,98.23999786376953,95.26985168457031,-0.013503414840780437,0.0054878140439593714,0.002107035861192763,0.000333965046772855,-0.0034223628625141833,-0.0011371322722492083,-0.0008915435213457945,-0.002962156184107001,-0.00393788339087664,0.0,-0.0015247094054123833,0.00655737089809616,0.029379990960205715
2020-01-15,75.5427017211914,15.73058032989502,40.21564865112305,55.49836730957031,35.45650863647461,102.09481048583984,146.5399932861328,24.66082763671875,213.87136840820312,99.32255554199219,305.29705810546875,97.44000244140625,95.9670639038086,-0.004285334880910319,0.0024257368399749346,0.0010513502757847348,-0.003673895686071127,-0.0017166282126767074,0.0021818911125943696,0.005834242779070742,-0.01931080086732606,0.00040912050368935304,0.0001810841369758176,0.0022598995713734027,-0.008143276056180704,0.007318288072355683
2020-01-16,76.48897552490234,15.559285163879395,40.64643859863281,55.53557586669922,35.630733489990234,101.98851013183594,146.30999755859375,24.840126037597656,215.92103576660156,99.34056091308594,307.83660888671875,98.31999969482422,96.69417572021484,0.012526343143026475,-0.010889310020564813,0.010711997989810706,0.0006704441757963142,0.004913762246077313,-0.0010411925297481028,-0.0015695082440052577,0.007270575161554493,0.009583645411041397,0.00018128179440712877,0.008318294309841212,0.00903117027267264,0.007576680861415719
